,Min Date,Over 10 Years
JPUS,2015-09-30 00:00:00-04:00,False
BKIV,2023-05-17 00:00:00-04:00,False
IBIG,2023-10-06 00:00:00-04:00,False
STOT,2016-04-14 00:00:00-04:00,False
FNGD,2018-01-23 00:00:00-05:00,False
CGSM,2023-09-28 00:00:00-04:00,False
CNYA,2016-06-16 00:00:00-04:00,False
DFSU,2022-11-02 00:00:00-04:00,False
UTWO,2022-08-09 00:00:00-04:00,False
VSDA,2017-04-18 00:00:00-04:00,False
CAOS,2023-03-06 00:00:00-05:00,False
METV,2021-06-30 00:00:00-04:00,False
DFUS,2021-06-14 00:00:00-04:00,False
RSPF,2006-11-07 00:00:00-05:00,True
SCHD,2011-10-20 00:00:00-04:00,True
KBWP,2010-12-22 00:00:00-05:00,True
RAYS,2021-09-13 00:00:00-04:00,False
USCF,2024-03-13 00:00:00-04:00,False
LQDW,2022-08-24 00:00:00-04:00,False
CGMS,2022-10-27 00:00:00-04:00,False
FVAL,2016-09-15 00:00:00-04:00,False
SAEF,2021-11-16 00:00:00-05:00,False
FEUS,2021-09-21 00:00:00-04:00,False
SPMV,2017-07-14 00:00:00-04:00,False
DLN,2006-06-16 00:00:00-04:00,True
IBHK,2024-05-24 00:00:00-04:00,False
NXTG,2011-02-18 00:00:00-05:00,True
URTY,2010-02-11 00:00:00-05:00,True
VIS,2004-09-29 00:00:00-04:00,True
DYLD,2021-06-29 00:00:00-04:00,False
CCSB,2024-04-16 00:00:00-04:00,False
TTAI,2017-07-10 00:00:00-04:00,False
VTWO,2010-09-22 00:00:00-04:00,True
ERET,2022-11-18 00:00:00-05:00,False
EBLU,2017-02-15 00:00:00-05:00,False
EVUS,2023-02-02 00:00:00-05:00,False
FTRI,2010-03-31 00:00:00-04:00,True
PAAA,2023-08-07 00:00:00-04:00,False
AMDS,2023-08-22 00:00:00-04:00,False
IWS,2001-08-02 00:00:00-04:00,True
VNM,2009-08-14 00:00:00-04:00,True
SOXS,2010-03-11 00:00:00-05:00,True
SCHP,2010-08-05 00:00:00-04:00,True
XTJL,2021-07-01 00:00:00-04:00,False
KEM,2023-09-01 00:00:00-04:00,False
RAYE,2021-12-16 00:00:00-05:00,False
SLX,2006-10-17 00:00:00-04:00,True
ADVE,2023-09-22 00:00:00-04:00,False
FLSW,2018-02-08 00:00:00-05:00,False
CHPS,2024-03-13 00:00:00-04:00,False
GBTC,2015-05-11 00:00:00-04:00,False
EMDV,2016-01-27 00:00:00-05:00,False
BBCA,2018-08-09 00:00:00-04:00,False
MNA,2009-11-17 00:00:00-05:00,True
TTT,2012-03-29 00:00:00-04:00,True
RAYC,2020-12-31 00:00:00-05:00,False
VTC,2017-11-09 00:00:00-05:00,False
PFUT,2021-05-26 00:00:00-04:00,False
PICK,2012-02-02 00:00:00-05:00,True
PEXL,2018-10-18 00:00:00-04:00,False
OUSM,2016-12-30 00:00:00-05:00,False
CEFA,2020-06-24 00:00:00-04:00,False
FCG,2007-05-11 00:00:00-04:00,True
DVOL,2018-10-18 00:00:00-04:00,False
FYLD,2013-12-03 00:00:00-05:00,True
GGM,2023-09-26 00:00:00-04:00,False
RDFI,2020-10-21 00:00:00-04:00,False
FDM,2005-09-30 00:00:00-04:00,True
ROE,2023-08-01 00:00:00-04:00,False
SPLV,2011-05-05 00:00:00-04:00,True
AGGS,2024-05-02 00:00:00-04:00,False
UTES,2015-09-24 00:00:00-04:00,False
PJFV,2022-12-14 00:00:00-05:00,False
XTWY,2022-10-12 00:00:00-04:00,False
IDU,2000-06-20 00:00:00-04:00,True
BAMG,2024-03-13 00:00:00-04:00,False
FAIL,2016-02-23 00:00:00-05:00,False
IQSM,2022-10-25 00:00:00-04:00,False
SEPW,2023-09-01 00:00:00-04:00,False
VCRB,2023-12-14 00:00:00-05:00,False
DOCT,2020-08-17 00:00:00-04:00,False
TLT,2002-07-30 00:00:00-04:00,True
BOTZ,2016-09-13 00:00:00-04:00,False
XHYE,2022-02-17 00:00:00-05:00,False
JQUA,2017-11-09 00:00:00-05:00,False
IFRA,2018-04-05 00:00:00-04:00,False
SMI,2021-09-10 00:00:00-04:00,False
FYT,2011-04-20 00:00:00-04:00,True
UAPR,2019-04-01 00:00:00-04:00,False
IWIN,2022-02-02 00:00:00-05:00,False
GXUS,2023-06-13 00:00:00-04:00,False
TAFI,2022-09-14 00:00:00-04:00,False
FDFF,2023-06-20 00:00:00-04:00,False
OVF,2019-10-01 00:00:00-04:00,False
IGPT,2005-06-23 00:00:00-04:00,True
TOK,2007-12-12 00:00:00-05:00,True
FXAIX,2011-05-04 00:00:00-04:00,True
ITDD,2023-10-23 00:00:00-04:00,False
LEXI,2021-07-02 00:00:00-04:00,False
TSLT,2023-10-19 00:00:00-04:00,False
GOOP,2023-10-31 00:00:00-04:00,False
XMAR,2023-03-20 00:00:00-04:00,False
HFGO,2021-11-10 00:00:00-05:00,False
ITOT,2004-01-23 00:00:00-05:00,True
HJEN,2021-03-25 00:00:00-04:00,False
MLPX,2013-08-07 00:00:00-04:00,True
QGRW,2022-12-22 00:00:00-05:00,False
FIG,2022-05-17 00:00:00-04:00,False
IVE,2000-05-26 00:00:00-04:00,True
EUSA,2010-05-07 00:00:00-04:00,True
HIDE,2022-11-17 00:00:00-05:00,False
TYLG,2022-11-22 00:00:00-05:00,False
IMTM,2015-01-27 00:00:00-05:00,False
SPHQ,2005-12-06 00:00:00-05:00,True
UCRD,2021-10-05 00:00:00-04:00,False
IAI,2006-05-05 00:00:00-04:00,True
RWM,2007-01-25 00:00:00-05:00,True
DGRO,2014-06-12 00:00:00-04:00,True
FLJH,2017-11-06 00:00:00-05:00,False
GFOF,2022-02-02 00:00:00-05:00,False
SYII,2022-06-17 00:00:00-04:00,False
IBDV,2020-06-26 00:00:00-04:00,False
AVRE,2021-09-30 00:00:00-04:00,False
DECT,2022-12-01 00:00:00-05:00,False
SDS,2006-07-13 00:00:00-04:00,True
VTIP,2012-10-16 00:00:00-04:00,True
FLGR,2017-11-06 00:00:00-05:00,False
AIRR,2014-03-11 00:00:00-04:00,True
FSST,2021-06-17 00:00:00-04:00,False
ARGT,2011-03-03 00:00:00-05:00,True
DUSB,2023-09-27 00:00:00-04:00,False
CID,2015-08-20 00:00:00-04:00,False
PGJ,2004-12-09 00:00:00-05:00,True
TBUX,2021-09-29 00:00:00-04:00,False
BINV,2023-10-09 00:00:00-04:00,False
EFIV,2020-07-29 00:00:00-04:00,False
GTEK,2021-09-16 00:00:00-04:00,False
MDST,2024-04-10 00:00:00-04:00,False
NUEM,2017-06-12 00:00:00-04:00,False
PABU,2022-04-20 00:00:00-04:00,False
WEEL,2024-05-16 00:00:00-04:00,False
EMGF,2015-12-18 00:00:00-05:00,False
FDEM,2019-03-01 00:00:00-05:00,False
BDGS,2023-05-11 00:00:00-04:00,False
IBMP,2019-04-11 00:00:00-04:00,False
PCY,2007-10-11 00:00:00-04:00,True
PPEM,2023-01-20 00:00:00-05:00,False
RYSE,2023-02-03 00:00:00-05:00,False
BSEP,2019-09-03 00:00:00-04:00,False
SHY,2002-07-30 00:00:00-04:00,True
MVAL,2024-03-28 00:00:00-04:00,False
NDVG,2021-08-05 00:00:00-04:00,False
OILK,2016-09-28 00:00:00-04:00,False
EZA,2003-02-07 00:00:00-05:00,True
DWX,2008-02-20 00:00:00-05:00,True
IJUN,2024-06-03 00:00:00-04:00,False
RSST,2023-09-07 00:00:00-04:00,False
DIVO,2016-12-15 00:00:00-05:00,False
CMDY,2018-04-05 00:00:00-04:00,False
VTEB,2015-08-25 00:00:00-04:00,False
COAL,2024-01-24 00:00:00-05:00,False
COWG,2022-12-30 00:00:00-05:00,False
PQDI,2020-06-17 00:00:00-04:00,False
MRSK,2020-06-25 00:00:00-04:00,False
THY,2020-06-25 00:00:00-04:00,False
IHYF,2020-12-07 00:00:00-05:00,False
TMFX,2021-12-31 00:00:00-05:00,False
NUAG,2016-09-15 00:00:00-04:00,False
HAUZ,2013-10-01 00:00:00-04:00,True
SPBO,2011-04-07 00:00:00-04:00,True
MLPB,2015-10-09 00:00:00-04:00,False
VFMV,2018-02-15 00:00:00-05:00,False
XRMI,2021-08-26 00:00:00-04:00,False
ETHO,2015-11-19 00:00:00-05:00,False
JOJO,2021-07-16 00:00:00-04:00,False
APUE,2023-05-03 00:00:00-04:00,False
AVIV,2021-09-30 00:00:00-04:00,False
HTEC,2019-06-25 00:00:00-04:00,False
LVHI,2016-07-28 00:00:00-04:00,False
FEMB,2014-11-05 00:00:00-05:00,False
OVB,2019-10-01 00:00:00-04:00,False
KRUZ,2023-02-07 00:00:00-05:00,False
SRVR,2018-05-16 00:00:00-04:00,False
CHGX,2017-10-10 00:00:00-04:00,False
GHEE,2023-11-20 00:00:00-05:00,False
TRND,2019-05-06 00:00:00-04:00,False
HYEM,2012-05-14 00:00:00-04:00,True
KLIP,2023-01-12 00:00:00-05:00,False
BJUN,2019-06-04 00:00:00-04:00,False
IPO,2013-10-16 00:00:00-04:00,True
IFEB,2024-02-01 00:00:00-05:00,False
FBND,2014-10-09 00:00:00-04:00,False
IBIA,2023-10-03 00:00:00-04:00,False
ITM,2007-12-06 00:00:00-05:00,True
MAGX,2024-02-29 00:00:00-05:00,False
ROKT,2018-10-23 00:00:00-04:00,False
IBRN,2022-08-29 00:00:00-04:00,False
XAPR,2024-04-22 00:00:00-04:00,False
DYLG,2023-08-09 00:00:00-04:00,False
IBDY,2023-06-23 00:00:00-04:00,False
FGM,2012-02-17 00:00:00-05:00,True
IQIN,2018-12-13 00:00:00-05:00,False
FNDE,2013-08-15 00:00:00-04:00,True
CPNJ,2024-06-03 00:00:00-04:00,False
MDIV,2012-08-14 00:00:00-04:00,True
SMIG,2021-08-26 00:00:00-04:00,False
ESGV,2018-09-20 00:00:00-04:00,False
RSEE,2022-01-21 00:00:00-05:00,False
EWC,1996-03-18 00:00:00-05:00,True
EWM,1996-03-18 00:00:00-05:00,True
BULD,2022-05-06 00:00:00-04:00,False
ITEQ,2015-11-03 00:00:00-05:00,False
CANE,2011-09-19 00:00:00-04:00,True
CDEI,2023-02-01 00:00:00-05:00,False
PCRB,2023-01-20 00:00:00-05:00,False
QYLD,2013-12-12 00:00:00-05:00,True
WNDY,2021-09-15 00:00:00-04:00,False
FEBP,2024-02-01 00:00:00-05:00,False
FLLA,2018-10-11 00:00:00-04:00,False
ATFV,2021-05-04 00:00:00-04:00,False
FTCS,2006-07-11 00:00:00-04:00,True
FID,2013-08-23 00:00:00-04:00,True
HEDJ,2010-01-15 00:00:00-05:00,True
IBIC,2024-06-10 00:00:00-04:00,False
JPIB,2017-04-13 00:00:00-04:00,False
LDSF,2019-01-08 00:00:00-05:00,False
RIGS,2013-10-09 00:00:00-04:00,True
EEMV,2011-10-20 00:00:00-04:00,True
LTPZ,2009-09-08 00:00:00-04:00,True
XHYI,2022-02-17 00:00:00-05:00,False
TGRW,2020-08-05 00:00:00-04:00,False
ARKK,2014-10-31 00:00:00-04:00,False
EUDV,2015-09-11 00:00:00-04:00,False
LOUP,2018-08-02 00:00:00-04:00,False
BBMC,2020-04-15 00:00:00-04:00,False
FLKR,2017-12-18 00:00:00-05:00,False
EBND,2011-02-24 00:00:00-05:00,True
LRGC,2024-03-13 00:00:00-04:00,False
EPOL,2010-05-26 00:00:00-04:00,True
TVAL,2023-06-16 00:00:00-04:00,False
CARU,2023-06-27 00:00:00-04:00,False
GRID,2009-11-17 00:00:00-05:00,True
MKAM,2023-04-12 00:00:00-04:00,False
RDVI,2022-10-20 00:00:00-04:00,False
MTUL,2021-02-05 00:00:00-05:00,False
DYNI,2023-11-14 00:00:00-05:00,False
PNQI,2008-06-13 00:00:00-04:00,True
DFSD,2021-11-16 00:00:00-05:00,False
FLRT,2015-02-19 00:00:00-05:00,False
IMOM,2015-12-23 00:00:00-05:00,False
RSPE,2021-11-17 00:00:00-05:00,False
AESR,2019-12-17 00:00:00-05:00,False
JUCY,2022-11-01 00:00:00-04:00,False
PSCU,2010-04-07 00:00:00-04:00,True
ROAM,2015-02-27 00:00:00-05:00,False
MIDU,2009-01-08 00:00:00-05:00,True
MTGP,2019-12-06 00:00:00-05:00,False
APRJ,2023-04-03 00:00:00-04:00,False
SSG,2007-02-01 00:00:00-05:00,True
STXK,2022-11-11 00:00:00-05:00,False
CRTC,2023-11-16 00:00:00-05:00,False
COWS,2023-09-13 00:00:00-04:00,False
PBD,2007-06-13 00:00:00-04:00,True
BTEC,2016-08-22 00:00:00-04:00,False
RFFC,2016-06-28 00:00:00-04:00,False
NBCC,2022-04-07 00:00:00-04:00,False
QDTE,2024-03-07 00:00:00-05:00,False
GDXU,2020-12-03 00:00:00-05:00,False
TMFS,2018-11-05 00:00:00-05:00,False
BILS,2020-10-07 00:00:00-04:00,False
ROSC,2015-03-24 00:00:00-04:00,False
NUKZ,2024-01-24 00:00:00-05:00,False
IQDE,2013-04-16 00:00:00-04:00,True
QRFT,2019-05-21 00:00:00-04:00,False
TYO,2009-04-16 00:00:00-04:00,True
USSG,2019-03-08 00:00:00-05:00,False
VSLU,2021-04-30 00:00:00-04:00,False
NDIV,2022-08-24 00:00:00-04:00,False
PGX,2008-01-31 00:00:00-05:00,True
MSVX,2020-05-15 00:00:00-04:00,False
SPTL,2007-05-30 00:00:00-04:00,True
URTH,2012-01-12 00:00:00-05:00,True
INDF,2020-10-21 00:00:00-04:00,False
KLXY,2023-09-22 00:00:00-04:00,False
XLRE,2015-10-08 00:00:00-04:00,False
SZNE,2018-08-02 00:00:00-04:00,False
MSFO,2023-08-25 00:00:00-04:00,False
DBP,2007-01-05 00:00:00-05:00,True
FLCB,2019-09-19 00:00:00-04:00,False
FAZ,2008-11-19 00:00:00-05:00,True
SAMM,2024-04-04 00:00:00-04:00,False
HERD,2019-05-07 00:00:00-04:00,False
DIAL,2017-10-13 00:00:00-04:00,False
PSMD,2020-12-23 00:00:00-05:00,False
APRD,2023-04-03 00:00:00-04:00,False
QULL,2021-02-09 00:00:00-05:00,False
SSFI,2021-09-29 00:00:00-04:00,False
WRND,2022-02-08 00:00:00-05:00,False
SOXX,2001-07-13 00:00:00-04:00,True
SYUS,2021-03-19 00:00:00-04:00,False
DFIC,2022-03-24 00:00:00-04:00,False
EAGL,2024-03-25 00:00:00-04:00,False
FIIG,2023-08-07 00:00:00-04:00,False
INRO,2024-03-28 00:00:00-04:00,False
IAPR,2021-04-01 00:00:00-04:00,False
UNOV,2019-11-01 00:00:00-04:00,False
BBCB,2018-12-17 00:00:00-05:00,False
MLPA,2012-04-19 00:00:00-04:00,True
MLPR,2020-06-03 00:00:00-04:00,False
YANG,2009-12-03 00:00:00-05:00,True
XDJA,2022-01-03 00:00:00-05:00,False
INKM,2012-04-26 00:00:00-04:00,True
MEDX,2023-01-31 00:00:00-05:00,False
BRAZ,2024-03-13 00:00:00-04:00,False
CAAA,2024-03-13 00:00:00-04:00,False
DECZ,2020-12-01 00:00:00-05:00,False
CRDT,2023-06-27 00:00:00-04:00,False
REMX,2010-10-28 00:00:00-04:00,True
UNL,2010-01-04 00:00:00-05:00,True
XCEM,2015-09-02 00:00:00-04:00,False
IWP,2001-08-02 00:00:00-04:00,True
MSTB,2020-09-30 00:00:00-04:00,False
TILL,2022-05-17 00:00:00-04:00,False
CALY,2023-07-24 00:00:00-04:00,False
DOL,2006-06-16 00:00:00-04:00,True
BTOP,2023-10-02 00:00:00-04:00,False
SAMT,2022-01-25 00:00:00-05:00,False
ADIV,2021-03-29 00:00:00-04:00,False
GFEB,2023-02-21 00:00:00-05:00,False
ONEV,2015-12-03 00:00:00-05:00,False
SVXY,2011-10-04 00:00:00-04:00,True
FNDA,2013-08-15 00:00:00-04:00,True
VBK,2004-01-30 00:00:00-05:00,True
RSPS,2006-11-07 00:00:00-05:00,True
BUFT,2021-10-28 00:00:00-04:00,False
YBTC,2024-01-18 00:00:00-05:00,False
PJUL,2018-08-09 00:00:00-04:00,False
IDX,2009-01-20 00:00:00-05:00,True
DFAS,2021-06-14 00:00:00-04:00,False
IDMO,2012-02-24 00:00:00-05:00,True
TWM,2007-01-25 00:00:00-05:00,True
IWFG,2022-06-23 00:00:00-04:00,False
NUGO,2021-09-28 00:00:00-04:00,False
GREK,2011-12-08 00:00:00-05:00,True
BAMU,2024-03-13 00:00:00-04:00,False
HUSV,2016-08-25 00:00:00-04:00,False
CRED,2023-05-02 00:00:00-04:00,False
DIVD,2022-09-30 00:00:00-04:00,False
VCR,2004-01-30 00:00:00-05:00,True
AOR,2008-11-19 00:00:00-05:00,True
FLDR,2018-06-18 00:00:00-04:00,False
ECNS,2010-09-29 00:00:00-04:00,True
SECT,2017-09-06 00:00:00-04:00,False
EEMX,2016-11-15 00:00:00-05:00,False
DFIP,2021-11-16 00:00:00-05:00,False
NVBT,2022-11-01 00:00:00-04:00,False
NVDD,2023-09-13 00:00:00-04:00,False
IUS,2018-09-12 00:00:00-04:00,False
PZA,2007-10-18 00:00:00-04:00,True
RYLG,2022-10-05 00:00:00-04:00,False
TACK,2022-03-23 00:00:00-04:00,False
DFND,2016-01-20 00:00:00-05:00,False
TDVG,2020-08-05 00:00:00-04:00,False
SSLY,2020-05-29 00:00:00-04:00,False
JCHI,2023-03-17 00:00:00-04:00,False
KNCT,2005-06-23 00:00:00-04:00,True
LCLG,2022-08-08 00:00:00-04:00,False
VFMF,2018-02-15 00:00:00-05:00,False
ADFI,2020-08-18 00:00:00-04:00,False
JEMA,2021-03-18 00:00:00-04:00,False
LABU,2015-05-28 00:00:00-04:00,False
LQD,2002-07-30 00:00:00-04:00,True
FDEV,2019-03-01 00:00:00-05:00,False
EDOW,2017-08-09 00:00:00-04:00,False
ISEP,2023-09-01 00:00:00-04:00,False
JHPI,2021-12-15 00:00:00-05:00,False
IQSI,2019-12-17 00:00:00-05:00,False
IIGD,2018-10-18 00:00:00-04:00,False
EVSD,2024-06-17 00:00:00-04:00,False
SEIQ,2022-05-19 00:00:00-04:00,False
PEX,2013-02-28 00:00:00-05:00,True
AVLC,2023-10-02 00:00:00-04:00,False
SROI,2023-02-06 00:00:00-05:00,False
MFUT,2024-05-29 00:00:00-04:00,False
FLRG,2020-09-18 00:00:00-04:00,False
PRN,2006-10-12 00:00:00-04:00,True
GTR,2021-10-07 00:00:00-04:00,False
BSCY,2024-06-13 00:00:00-04:00,False
RIET,2021-09-22 00:00:00-04:00,False
UITB,2017-10-27 00:00:00-04:00,False
PMAY,2020-05-01 00:00:00-04:00,False
BUYZ,2020-02-27 00:00:00-05:00,False
DBO,2007-01-05 00:00:00-05:00,True
ROBO,2013-10-22 00:00:00-04:00,True
MDPL,2024-03-13 00:00:00-04:00,False
DSI,2006-11-17 00:00:00-05:00,True
EMDM,2023-03-03 00:00:00-05:00,False
ONEQ,2003-10-01 00:00:00-04:00,True
SLVO,2013-04-17 00:00:00-04:00,True
KEMX,2019-04-12 00:00:00-04:00,False
FIAX,2022-11-30 00:00:00-05:00,False
HYGH,2014-05-29 00:00:00-04:00,True
LCG,2020-08-27 00:00:00-04:00,False
SCHZ,2011-07-14 00:00:00-04:00,True
ROYA,2023-08-17 00:00:00-04:00,False
TOUS,2023-06-16 00:00:00-04:00,False
EET,2009-06-04 00:00:00-04:00,True
ANEW,2020-10-16 00:00:00-04:00,False
EATZ,2021-04-21 00:00:00-04:00,False
OUNZ,2014-05-16 00:00:00-04:00,True
BKGI,2022-11-04 00:00:00-04:00,False
QVMS,2021-06-30 00:00:00-04:00,False
BNOV,2019-11-01 00:00:00-04:00,False
FLMB,2017-09-05 00:00:00-04:00,False
STXD,2022-11-11 00:00:00-05:00,False
PPTY,2018-03-27 00:00:00-04:00,False
FXH,2007-05-10 00:00:00-04:00,True
RINC,2023-08-28 00:00:00-04:00,False
USAI,2017-12-13 00:00:00-05:00,False
PBAP,2024-04-01 00:00:00-04:00,False
SPYC,2020-09-04 00:00:00-04:00,False
YEAR,2022-09-14 00:00:00-04:00,False
DCMT,2024-02-05 00:00:00-05:00,False
BTEK,2020-10-01 00:00:00-04:00,False
ALTL,2020-06-25 00:00:00-04:00,False
XFEB,2024-02-20 00:00:00-05:00,False
PWER,2023-12-01 00:00:00-05:00,False
BETZ,2020-06-04 00:00:00-04:00,False
FAAR,2016-05-23 00:00:00-04:00,False
IDV,2007-06-21 00:00:00-04:00,True
ISCV,2004-07-13 00:00:00-04:00,True
CLNR,2021-10-21 00:00:00-04:00,False
DFAX,2021-09-13 00:00:00-04:00,False
BAPR,2019-04-01 00:00:00-04:00,False
EWZ,2000-07-14 00:00:00-04:00,True
WABF,2023-09-22 00:00:00-04:00,False
CGBL,2023-09-28 00:00:00-04:00,False
KHYB,2018-07-09 00:00:00-04:00,False
UPRO,2009-06-25 00:00:00-04:00,True
CNEQ,2024-04-05 00:00:00-04:00,False
BMED,2020-10-02 00:00:00-04:00,False
CEMB,2012-04-19 00:00:00-04:00,True
PFM,2005-09-15 00:00:00-04:00,True
HARD,2023-03-29 00:00:00-04:00,False
JAVA,2021-10-05 00:00:00-04:00,False
FTXR,2016-09-22 00:00:00-04:00,False
MIOIX,2010-03-31 00:00:00-04:00,True
BSCQ,2016-09-22 00:00:00-04:00,False
RSBT,2023-02-08 00:00:00-05:00,False
VFH,2004-01-30 00:00:00-05:00,True
^GSPC,1927-12-30 00:00:00-05:00,True
LCF,2022-08-18 00:00:00-04:00,False
PRAY,2022-02-08 00:00:00-05:00,False
AGG,2003-09-29 00:00:00-04:00,True
SBSPX,1997-12-31 00:00:00-05:00,True
WTBN,2023-12-20 00:00:00-05:00,False
XAUG,2023-08-21 00:00:00-04:00,False
XHE,2011-01-27 00:00:00-05:00,True
GBLD,2021-04-22 00:00:00-04:00,False
BTRN,2024-03-22 00:00:00-04:00,False
VOX,2004-09-29 00:00:00-04:00,True
BELT,2024-06-18 00:00:00-04:00,False
XMMO,2005-03-03 00:00:00-05:00,True
FBTC,2024-01-11 00:00:00-05:00,False
FPXI,2014-11-11 00:00:00-05:00,False
KCE,2005-11-15 00:00:00-05:00,True
IBTE,2020-03-03 00:00:00-05:00,False
IBDU,2019-09-19 00:00:00-04:00,False
IBOT,2023-04-10 00:00:00-04:00,False
QTUM,2018-09-05 00:00:00-04:00,False
CAMX,2023-02-13 00:00:00-05:00,False
DDLS,2016-04-26 00:00:00-04:00,False
FPRO,2021-02-04 00:00:00-05:00,False
SPVU,2015-10-09 00:00:00-04:00,False
BCIL,2024-03-25 00:00:00-04:00,False
EMTL,2016-04-26 00:00:00-04:00,False
CVRD,2023-08-22 00:00:00-04:00,False
ATMP,2013-03-13 00:00:00-04:00,True
AIFD,2024-05-06 00:00:00-04:00,False
HYZD,2013-12-18 00:00:00-05:00,True
VFQY,2018-02-15 00:00:00-05:00,False
IWB,2000-05-19 00:00:00-04:00,True
FDHT,2021-10-07 00:00:00-04:00,False
SPXS,2008-11-19 00:00:00-05:00,True
